frame,landmark0_x,landmark0_y,landmark11_x,landmark11_y,landmark12_x,landmark12_y,landmark13_x,landmark13_y,landmark14_x,landmark14_y,landmark15_x,landmark15_y,landmark16_x,landmark16_y,landmark23_x,landmark23_y,landmark24_x,landmark24_y,landmark25_x,landmark25_y,landmark26_x,landmark26_y,landmark27_x,landmark27_y,landmark28_x,landmark28_y,neck_x,neck_y,hip_x,hip_y
1,0.6194936633110046,0.5642596483230591,0.8122037649154663,0.8247240781784058,0.4160214066505432,0.861036479473114,0.913713812828064,1.1889071464538574,0.37597569823265076,1.2417576313018799,0.8980833292007446,1.4761414527893066,0.3740261197090149,1.5137916803359985,0.7654805183410645,1.469171166419983,0.5052499771118164,1.4859490394592285,0.7586367130279541,1.970181941986084,0.5275241732597351,1.9921787977218628,0.7642658948898315,2.4155526161193848,0.548805296421051,2.4322540760040283,0.6141125857830048,0.8428802788257599,0.6353652477264404,1.4775601029396057
2,0.6192523241043091,0.5657857060432434,0.8118983507156372,0.8249016404151917,0.41997990012168884,0.861050546169281,0.9147283434867859,1.1769241094589233,0.38650932908058167,1.2420332431793213,0.901004433631897,1.4639729261398315,0.37571340799331665,1.4838976860046387,0.7683600187301636,1.4688726663589478,0.5169585943222046,1.4857906103134155,0.7616161108016968,1.9720793962478638,0.5316787362098694,1.9941056966781616,0.7681296467781067,2.4286134243011475,0.5533897280693054,2.445444345474243,0.615939125418663,0.8429760932922363,0.6426593065261841,1.4773316383361816
3,0.619240403175354,0.5662667751312256,0.8111934661865234,0.8249494433403015,0.42300039529800415,0.8610409498214722,0.9147505760192871,1.171596884727478,0.39523079991340637,1.242438554763794,0.9010774493217468,1.457129955291748,0.3886054754257202,1.4863353967666626,0.7691386342048645,1.4688743352890015,0.5219424366950989,1.4858574867248535,0.7627038359642029,1.9743155241012573,0.5340054035186768,1.9981993436813354,0.769189178943634,2.434609889984131,0.5554574728012085,2.4528188705444336,0.6170969307422638,0.8429951965808868,0.6455405354499817,1.4773659110069275
4,0.619102954864502,0.5672646164894104,0.8109437227249146,0.8245548605918884,0.4249518811702728,0.861036479473114,0.9159309267997742,1.169832706451416,0.4045863747596741,1.2482763528823853,0.9011163711547852,1.455004334449768,0.4040904939174652,1.4879897832870483,0.7749298214912415,1.4689828157424927,0.5283758640289307,1.4867088794708252,0.770621657371521,1.9766656160354614,0.5403439998626709,2.0031397342681885,0.7789613008499146,2.43819522857666,0.563580334186554,2.45689058303833,0.6179478019475937,0.8427956700325012,0.6516528427600861,1.477845847606659
5,0.6190971732139587,0.5675590634346008,0.8101151585578918,0.8245582580566406,0.42483052611351013,0.8605540990829468,0.9157322645187378,1.167643427848816,0.40223437547683716,1.2476693391799927,0.9009039998054504,1.4522217512130737,0.3895661234855652,1.478405475616455,0.7748562693595886,1.4681217670440674,0.5273244380950928,1.4860475063323975,0.7708693146705627,1.9766322374343872,0.5400151014328003,2.002990961074829,0.7807323336601257,2.4380950927734375,0.5645571947097778,2.45625376701355,0.617472842335701,0.8425561785697937,0.6510903537273407,1.4770846366882324
6,0.6187513470649719,0.5675954222679138,0.8099449276924133,0.8244923949241638,0.42494791746139526,0.8591607809066772,0.9152747392654419,1.1660221815109253,0.4007956385612488,1.241498589515686,0.8993934392929077,1.4496029615402222,0.3890363574028015,1.470807671546936,0.7744272351264954,1.466963291168213,0.5266565680503845,1.4839588403701782,0.7696181535720825,1.9766371250152588,0.5369556546211243,2.002683401107788,0.777920663356781,2.43804931640625,0.5595312118530273,2.455824375152588,0.6174464225769043,0.8418265879154205,0.6505419015884399,1.4754610657691956
7,0.6187422275543213,0.567499577999115,0.8098928332328796,0.8245111703872681,0.4249745011329651,0.8578312993049622,0.9130282402038574,1.1661126613616943,0.4032195508480072,1.24021577835083,0.8989695310592651,1.449844479560852,0.38889485597610474,1.4689851999282837,0.7743695974349976,1.4666355848312378,0.5259025692939758,1.4831007719039917,0.7684021592140198,1.976726770401001,0.5350526571273804,2.002617120742798,0.7751572132110596,2.4376766681671143,0.5561896562576294,2.4553229808807373,0.6174336671829224,0.8411712348461151,0.6501360833644867,1.4748681783676147
8,0.6187731623649597,0.5668364763259888,0.8098887205123901,0.8245564699172974,0.42503267526626587,0.857833981513977,0.9077223539352417,1.079278588294983,0.4038122296333313,1.2407095432281494,0.9034276008605957,1.4505211114883423,0.3900812566280365,1.4708349704742432,0.7756842374801636,1.4668394327163696,0.5260595083236694,1.4841227531433105,0.7715033292770386,1.9783812761306763,0.5371790528297424,2.0046799182891846,0.7801703214645386,2.4401564598083496,0.5603675842285156,2.458246946334839,0.617460697889328,0.8411952257156372,0.6508718729019165,1.47548109292984
9,0.6187702417373657,0.5665494203567505,0.8099339604377747,0.8245903849601746,0.42507919669151306,0.8577716946601868,0.9159641265869141,1.1201077699661255,0.4068809151649475,1.2453441619873047,0.9051674008369446,1.4510715007781982,0.40435895323753357,1.4727579355239868,0.7781396508216858,1.4672902822494507,0.5274669528007507,1.4854334592819214,0.7731888294219971,1.9810231924057007,0.5382471680641174,2.0076355934143066,0.78194659948349,2.443066358566284,0.5619627237319946,2.4611763954162598,0.6175065785646439,0.8411810398101807,0.6528033018112183,1.476361870765686
10,0.618782639503479,0.5665152668952942,0.8099184036254883,0.8244472742080688,0.42506271600723267,0.8571243286132812,0.9186291694641113,1.134182333946228,0.40764132142066956,1.2456716299057007,0.9050472974777222,1.450325846672058,0.4026219844818115,1.4708442687988281,0.7780565023422241,1.4672552347183228,0.5270710587501526,1.485414743423462,0.7731002569198608,1.9811363220214844,0.5381670594215393,2.007498264312744,0.781805694103241,2.442786693572998,0.5618072152137756,2.4607913494110107,0.6174905598163605,0.840785801410675,0.6525637805461884,1.4763349890708923
